country,name,firstname,position,team,games,goals,assists,points,salary,dollar_point,,,,
RUS,Zykov,Valentin,LW,CAR,2,1,0,1,CA$727'500.00,CA$ 705000.00,,,,
CAN,Nogier,Nelson,D,WPG,10,0,0,0,CA$650'000.00,CA$713'333.00,,,,
SWE,Lindholm,Anton,D,COL,12,0,0,0,CA$667'500.00,CA$717'500.00,,,,
CAN,Speers,Blake,C,N.J,3,0,0,0,CA$667'500.00,CA$717'500.00,,,,
CAN,Glass,Tanner,LW,NYR,11,1,1,2,CA$1'000'000.00,CA$ 725000.00,,,,
CAN,Stephenson,Chandler,C,WSH,4,0,0,0,CA$842'500.00,CA$725'833.00,,,,
CAN,Blunden,Mike,RW,OTT,2,0,0,0,CA$725'000.00,CA$737'500.00,,,,
CAN,Greer,A.J.,LW,COL,5,0,1,1,CA$725'000.00,CA$ 741667.00,,,,
USA,Robinson,Buddy,RW,OTT,4,0,0,0,CA$750'000.00,CA$750'000.00,,,,
USA,Nieves,Cristoval,C/LW,NYR,1,0,0,0,CA$742'500.00,CA$755'000.00,,,,
CAN,Renouf,Dan,D,DET,1,0,0,0,CA$692'500.00,CA$767'500.00,,,,
USA,Etem,Emerson,LW/RW,ANA,3,0,0,0,CA$775'000.00,CA$775'000.00,,,,
SWE,Heed,Tim,D,S.J,1,0,0,0,CA$775'000.00,CA$775'000.00,,,,
CHE,Bertschy,Christoph,C,MIN,5,0,1,1,CA$742'500.00,CA$ 775833.00,,,,
SWE,Englund,Andreas,D,OTT,5,0,0,0,CA$742'500.00,CA$775'833.00,,,,
SWE,Andersson,Rasmus,D,CGY,1,0,0,0,CA$742'500.00,CA$786'667.00,,,,
USA,Megna,Jaycob,D,ANA,1,0,0,0,CA$925'000.00,CA$786'667.00,,,,
CAN,Desjardins,Andrew,LW/C,CHI,46,0,1,1,CA$800'000.00,CA$ 800000.00,,,,
CAN,McIlrath,Dylan,D,FLA/NYR,6,1,0,1,CA$800'000.00,CA$ 800000.00,,,,
CAN,Morrow,Joe,D,BOS,17,0,1,1,CA$800'000.00,CA$ 800000.00,,,,
CAN,Purcell,Teddy,LW/RW,L.A,12,0,2,2,CA$1'600'000.00,CA$ 800000.00,,,,
USA,Thompson,Nate,C,ANA,30,1,1,2,CA$1'700'000.00,CA$ 800000.00,,,,
CAN,Bourque,Gabriel,LW/RW,COL,6,0,0,0,CA$800'000.00,CA$800'000.00,,,,
CAN,Kearns,Bracken,C,NYI,2,0,0,0,CA$800'000.00,CA$800'000.00,,,,
DNK,Sorensen,Nick,RW,ANA,5,0,1,1,CA$925'000.00,CA$ 803333.00,,,,
USA,Kuraly,Sean,C,BOS,8,0,1,1,CA$692'500.00,CA$ 808750.00,,,,
RUS,Kamenev,Vladislav,LW/C,NSH,2,0,0,0,CA$742'500.00,CA$833'333.00,,,,
CAN,Simpson,Dillon,D,EDM,3,0,0,0,CA$925'000.00,CA$836'667.00,,,,
DEU,O'Regan,Daniel,C/LW,S.J,3,1,0,1,CA$792'500.00,CA$ 858750.00,,,,
USA,Grzelcyk,Matt,D,BOS,2,0,0,0,CA$792'500.00,CA$858'750.00,,,,
USA,Poturalski,Andrew,C,CAR,2,0,0,0,CA$792'500.00,CA$858'750.00,,,,
FIN,Kapanen,Kasperi,RW,TOR,8,1,0,1,CA$925'000.00,CA$ 863333.00,,,,
RUS,Scherbak,Nikita,RW,MTL,3,1,0,1,CA$925'000.00,CA$ 863333.00,,,,
CAN,Shinkaruk,Hunter,C/LW,CGY,7,0,1,1,CA$832'500.00,CA$ 863333.00,,,,
CAN,Laughton,Scott,C/LW,PHI,2,0,0,0,CA$832'500.00,CA$863'333.00,,,,
USA,Milano,Sonny,LW,CBJ,4,0,0,0,CA$925'000.00,CA$863'333.00,,,,
CAN,Morin,Samuel,D,PHI,1,0,0,0,CA$832'500.00,CA$863'333.00,,,,
CAN,Pouliot,Derrick,D,PIT,11,0,0,0,CA$832'500.00,CA$863'333.00,,,,
CAN,Pulock,Ryan,D,NYI,1,0,0,0,CA$832'500.00,CA$863'333.00,,,,
RUS,Kulikov,Dmitry,D,BUF,47,2,3,5,CA$4'500'000.00,CA$ 866666.60,,,,
CAN,Heinen,Danton,C,BOS,8,0,0,0,CA$767'500.00,CA$872'500.00,,,,
CAN,Gaudet,Tyler,C,ARI,4,0,1,1,CA$874'125.00,CA$ 874125.00,,,,
USA,Bailey,Casey,RW/C,OTT,7,0,0,0,CA$874'125.00,CA$874'125.00,,,,
CAN,Siemens,Duncan,D,COL,3,0,0,0,CA$874'125.00,CA$874'125.00,,,,
CAN,Khaira,Jujhar,LW,EDM,10,1,0,1,CA$832'500.00,CA$ 875000.00,,,,
USA,Malone,Sean,C,BUF,1,0,0,0,CA$925'000.00,CA$883'750.00,,,,
CAN,Strome,Dylan,C,ARI,7,0,1,1,CA$925'000.00,CA$ 894167.00,,,,
CAN,Virtanen,Jake,RW,VAN,10,0,1,1,CA$925'000.00,CA$ 894167.00,,,,
CAN,Barzal,Mathew,C,NYI,2,0,0,0,CA$925'000.00,CA$894'167.00,,,,
CAN,Chabot,Thomas,D,OTT,1,0,0,0,CA$925'000.00,CA$894'167.00,,,,
SWE,Hagg,Robert,D,PHI,1,0,0,0,CA$925'000.00,CA$894'167.00,,,,
RUS,Svechnikov,Evgeny,RW/LW,DET,2,0,0,0,CA$925'000.00,CA$894'167.00,,,,
SVK,Jurco,Tomas,LW/RW,CHI/DET,29,1,0,1,CA$950'000.00,CA$ 900000.00,,,,
CAN,Jost,Tyson,C/LW/RW,COL,6,1,0,1,CA$900'000.00,CA$ 916667.00,,,,
SWE,Forsbacka Karlsson,Jakob,C,BOS,1,0,0,0,CA$900'000.00,CA$916'667.00,,,,
SWE,Carlsson,Gabriel,D,CBJ,2,0,1,1,CA$925'000.00,CA$ 925000.00,,,,
USA,Fasching,Hudson,RW,BUF,10,0,1,1,CA$925'000.00,CA$ 925000.00,,,,
USA,Grimaldi,Rocco,C,COL,4,0,1,1,CA$925'000.00,CA$ 925000.00,,,,
USA,McCoshen,Ian,D,FLA,3,0,1,1,CA$925'000.00,CA$ 925000.00,,,,
CAN,Nylander,Alex,RW/LW,BUF,4,0,1,1,CA$925'000.00,CA$ 925000.00,,,,
USA,Reilly,Mike,D,MIN,17,1,0,1,CA$925'000.00,CA$ 925000.00,,,,
SWE,De la Rose,Jacob,LW,MTL,9,0,0,0,CA$925'000.00,CA$925'000.00,,,,
CAN,Jankowski,Mark,C,CGY,1,0,0,0,CA$925'000.00,CA$925'000.00,,,,
USA,Kapla,Michael,D,N.J,5,0,0,0,CA$925'000.00,CA$925'000.00,,,,
USA,Kerdiles,Nicolas,LW,ANA,1,0,0,0,CA$925'000.00,CA$925'000.00,,,,
FIN,Kossila,Kalle,LW/C,ANA,1,0,0,0,CA$925'000.00,CA$925'000.00,,,,
SWE,Larsson,Jacob,D,ANA,4,0,0,0,CA$925'000.00,CA$925'000.00,,,,
USA,Molino,Griffen,C,VAN,5,0,0,0,CA$925'000.00,CA$925'000.00,,,,
USA,O'Gara,Rob,D,BOS,3,0,0,0,CA$925'000.00,CA$925'000.00,,,,
RUS,Sergachev,Mikhail,D,MTL,4,0,0,0,CA$925'000.00,CA$925'000.00,,,,
USA,Tuch,Alex,RW,MIN,6,0,0,0,CA$925'000.00,CA$925'000.00,,,,
USA,Vecchione,Mike,C/RW,PHI,2,0,0,0,CA$925'000.00,CA$925'000.00,,,,
USA,White,Colin,C/D,OTT,2,0,0,0,CA$925'000.00,CA$925'000.00,,,,
CAN,Gordon,Boyd,C/RW,PHI,13,1,0,1,CA$950'000.00,CA$ 950000.00,,,,
SWE,Rodin,Anton,RW,VAN,3,0,1,1,CA$950'000.00,CA$ 950000.00,,,,
CAN,Connauton,Kevin,D,ARI,24,0,1,1,CA$950'000.00,CA$ 1000000.00,,,,
CAN,Stoner,Clayton,D,ANA,14,1,2,3,CA$3'250'000.00,CA$ 1083333.33,,,,
USA,Myers,Tyler,D,WPG,11,2,3,5,CA$4'000'000.00,CA$ 1100000.00,,,,
USA,Greene,Matt,D,L.A,26,1,1,2,CA$2'500'000.00,CA$ 1250000.00,,,,
USA,Condra,Erik,RW,T.B,13,0,0,0,CA$1'250'000.00,CA$1'250'000.00,,,,
USA,Callahan,Ryan,RW,T.B,18,2,2,4,CA$6'500'000.00,CA$ 1450000.00,,,,
CAN,Gelinas,Eric,D,COL,27,0,1,1,CA$1'650'000.00,CA$ 1575000.00,,,,
USA,Fayne,Mark,D,EDM,4,0,2,2,CA$3'500'000.00,CA$ 1812500.00,,,,
CZE,Michalek,Milan,LW/RW,TOR,5,1,1,2,CA$4'000'000.00,CA$ 2000000.00,,,,
CZE,Sobotka,Vladimir,LW/C,STL,1,1,0,1,CA$2'725'000.00,CA$ 2725000.00,,,,
CZE,Michalek,Zbynek,D,ARI,3,0,0,0,CA$3'200'000.00,CA$3'200'000.00,,,,
CAN,Despres,Simon,D,ANA,1,0,0,0,CA$2'600'000.00,CA$3'700'000.00,,,,
CAN,MacArthur,Clarke,LW,OTT,4,0,0,0,CA$4'500'000.00,CA$4'650'000.00,,,,
