country,name,firstname,position,team,games,goals,assists,points,salary,dollar_point,,,,
USA,van Riemsdyk,James,LW,TOR,82,29,33,62,CA$5'000'000.00,CA$ 68548.39,,,,
CHE,Malgin,Denis,C,FLA,47,6,4,10,CA$640'000.00,CA$ 69000.00,,,,
RUS,Namestnikov,Vladislav,C/LW,T.B,74,10,18,28,CA$1'900'000.00,CA$ 69196.43,,,,
CAN,Graovac,Tyler,C,MIN,52,7,2,9,CA$600'000.00,CA$ 69444.44,,,,
USA,Mayfield,Scott,D,NYI,25,2,7,9,CA$575'000.00,CA$ 69444.44,,,,
CAN,Edmundson,Joel,D,STL,69,3,12,15,CA$900'000.00,CA$ 70000.00,,,,
CAN,Mitchell,Torrey,C/RW,MTL,78,8,9,17,CA$1'300'000.00,CA$ 70588.24,,,,
CAN,Chiarot,Ben,D,WPG,59,2,10,12,CA$850'000.00,CA$ 70833.33,,,,
SWE,Zibanejad,Mika,C/RW,NYR,56,14,23,37,CA$3'250'000.00,CA$ 70945.95,,,,
USA,Boucher,Reid,C/LW,N.J/NSH/VAN,39,6,4,10,CA$715'000.00,CA$ 71500.00,,,,
LVA,Girgensons,Zemgus,C/LW,BUF,75,7,9,16,CA$1'150'000.00,CA$ 71875.00,,,,
CAN,Gourde,Yanni,C,T.B,20,6,2,8,CA$575'000.00,CA$ 71875.00,,,,
SWE,Rasmussen,Dennis,C,CHI,68,4,4,8,CA$575'000.00,CA$ 71875.00,,,,
CHE,Weber,Yannick,D,NSH,73,1,7,8,CA$575'000.00,CA$ 71875.00,,,,
CAN,Blandisi,Joseph,LW/C,N.J,27,3,6,9,CA$715'000.00,CA$ 72037.00,,,,
USA,Lee,Anders,LW/C,NYI,81,34,18,52,CA$3'500'000.00,CA$ 72115.38,,,,
CAN,Cramarossa,Joseph,C/LW,ANA/VAN,59,4,6,10,CA$724'500.00,CA$ 72450.00,,,,
USA,Johns,Stephen,D,DAL,61,4,6,10,CA$650'000.00,CA$ 72500.00,,,,
CAN,Simmonds,Wayne,RW/LW,PHI,82,31,23,54,CA$4'300'000.00,CA$ 73611.11,,,,
CAN,Kadri,Nazem,C,TOR,82,32,29,61,CA$5'000'000.00,CA$ 73770.49,,,,
USA,Johnson,Tyler,C,T.B,66,19,26,45,CA$4'000'000.00,CA$ 74074.07,,,,
FRA,Roussel,Antoine,LW,DAL,60,12,15,27,CA$2'200'000.00,CA$ 74074.07,,,,
CAN,Crouse,Lawson,LW,ARI,72,5,7,12,CA$925'000.00,CA$ 74513.92,,,,
USA,Oshie,T.J.,RW/C,WSH,68,33,23,56,CA$4'500'000.00,CA$ 74553.57,,,,
CAN,Scheifele,Mark,C,WPG,79,32,50,82,CA$5'000'000.00,CA$ 74695.12,,,,
CAN,Dumba,Matt,D,MIN,76,11,23,34,CA$2'350'000.00,CA$ 75000.00,,,,
SWE,Karlsson,Melker,C/RW,S.J,67,11,11,22,CA$1'850'000.00,CA$ 75000.00,,,,
CAN,Kelly,Chris,C/LW,OTT,82,5,7,12,CA$900'000.00,CA$ 75000.00,,,,
USA,Megna,Jayson,C,VAN,58,4,4,8,CA$600'000.00,CA$ 75000.00,,,,
CAN,Petrovic,Alex,D,FLA,49,1,13,14,CA$1'200'000.00,CA$ 75000.00,,,,
SWE,Rakell,Rickard,C/RW,ANA,71,33,18,51,CA$3'800'000.00,CA$ 75562.20,,,,
USA,Wheeler,Blake,RW,WPG,82,26,48,74,CA$5'800'000.00,CA$ 75675.68,,,,
USA,Moore,John,D,N.J,63,12,10,22,CA$1'750'000.00,CA$ 75757.59,,,,
CAN,Burns,Brent,D/RW,S.J,82,29,47,76,CA$5'760'000.00,CA$ 75789.47,,,,
USA,Shattenkirk,Kevin,D,STL/WSH,80,13,43,56,CA$5'200'000.00,CA$ 75892.86,,,,
CAN,Benn,Jamie,LW,DAL,77,26,43,69,CA$5'750'000.00,CA$ 76086.96,,,,
NOR,Zuccarello,Mats,RW/C/LW,NYR,80,15,44,59,CA$4'500'000.00,CA$ 76271.19,,,,
CAN,Bozak,Tyler,C,TOR,78,18,37,55,CA$4'500'000.00,CA$ 76363.64,,,,
SWE,Silfverberg,Jakob,RW/LW,ANA,79,23,26,49,CA$3'000'000.00,CA$ 76530.61,,,,
CAN,Miller,Colin,D,BOS,61,6,7,13,CA$900'000.00,CA$ 76923.08,,,,
USA,Skille,Jack,RW,VAN,55,5,4,9,CA$700'000.00,CA$ 77777.78,,,,
RUS,Orlov,Dmitry,D,WSH,82,6,27,33,CA$2'570'000.00,CA$ 77878.79,,,,
SWE,Backstrom,Nicklas,C,WSH,82,23,63,86,CA$7'000'000.00,CA$ 77906.98,,,,
CAN,Nurse,Darnell,D,EDM,44,5,6,11,CA$832'500.00,CA$ 78484.82,,,,
CAN,de Haan,Calvin,D,NYI,82,5,20,25,CA$2'900'000.00,CA$ 78666.68,,,,
