country,name,firstname,position,team,games,goals,assists,points,dollar_salary,dollar_point
SWE,Nyquist,Gustav,RW/C/LW,DET,76,12,36,48,4250000,98958
CAN,Henrique,Adam,C,N.J,82,20,20,40,4500000,100000
DEU,Holzer,Korbinian,D,ANA,32,2,5,7,700000,100000
CAN,Hunt,Brad,D,NSH/STL,12,1,5,6,600000,100000
CAN,Little,Bryan,C/RW,WPG,59,21,26,47,5000000,100000
CAN,McKegg,Greg,C,FLA/T.B,46,3,4,7,700000,100000
CAN,Puempel,Matt,LW,NYR/OTT,40,6,3,9,900000,100000
RUS,Tarasenko,Vladimir,RW,STL,82,39,36,75,8000000,100000
USA,Trouba,Jacob,D,WPG,60,8,25,33,2500000,100267
RUS,Anisimov,Artem,C/LW,CHI,64,22,23,45,5750000,101111
CAN,Fowler,Cam,D,ANA,80,11,28,39,4000000,102564
USA,Martinez,Alec,D,L.A,82,9,30,39,3900000,102564
RUS,Tryamkin,Nikita,D,VAN,66,2,7,9,925000,102778
USA,Krug,Torey,D,BOS,81,8,43,51,5000000,102941
SWE,Forsberg,Filip,LW/C/RW,NSH,82,31,27,58,6000000,103448
CZE,Sustr,Andrej,D,T.B,80,3,11,14,1600000,103571
CAN,Keith,Duncan,D,CHI,80,6,47,53,6000000,104499
CAN,Fisher,Mike,C,NSH,72,18,24,42,4000000,104762
CAN,Wilson,Tom,RW,WSH,82,7,12,19,1750000,105263
SWE,Nordstrom,Joakim,LW/C,CAR,82,7,5,12,1250000,106250
CAN,Elie,Remi,LW,DAL,18,1,6,7,767500,106429
RUS,Radulov,Alex,RW,MTL,76,18,36,54,5750000,106481
USA,Carlson,John,D,WSH,72,9,28,37,4000000,107207
CAN,Smith,Gemel,C,DAL,17,3,3,6,670000,107500
USA,Foligno,Nick,LW/RW,CBJ,79,26,25,51,5500000,107843
CAN,Holland,Peter,C,ARI/TOR,48,5,7,12,1300000,108333
SWE,Berglund,Patrik,C/LW,STL,82,23,11,34,3700000,108824
USA,Sanford,Zach,LW,STL/WSH,39,4,4,8,875000,109375
SWE,Klefbom,Oscar,D,EDM,82,12,26,38,3000000,109658
CAN,Monahan,Sean,C,CGY,82,27,31,58,6500000,109914
CAN,Hickey,Thomas,D,NYI,76,4,16,20,2250000,110000
SWE,Josefson,Jacob,C/LW,N.J,38,1,9,10,1100000,110000
USA,Gaudreau,Johnny,LW,CGY,72,18,43,61,6750000,110656
USA,McDonagh,Ryan,D,NYR,77,6,36,42,5000000,111905
USA,Tennyson,Matt,D,CAR,45,0,6,6,675000,112500
USA,Wilson,Colin,LW/C,NSH,70,12,23,35,4000000,112500
CAN,Ward,Joel,RW/C,S.J,78,10,19,29,3275000,112931
CAN,Getzlaf,Ryan,C,ANA,74,15,58,73,9250000,113014
CAN,Hall,Taylor,LW/C,N.J,72,20,33,53,6000000,113208
USA,Saad,Brandon,LW/RW,CBJ,82,24,29,53,5750000,113208
FIN,Barkov,Aleksander,C,FLA,61,21,31,52,4500000,113462
CAN,Steen,Alex,LW/C,STL,76,16,35,51,6500000,113725
USA,Kessel,Phil,RW/C,PIT,82,23,47,70,9000000,114286
CAN,Ott,Steve,C/LW,DET/MTL,53,3,4,7,800000,114286
CAN,Hamilton,Dougie,D,CGY,81,13,37,50,5500000,115000
CAN,Couture,Logan,C/LW,S.J,73,25,27,52,6000000,115385
USA,Ladue,Paul,D,L.A,22,0,8,8,925000,115625
SWE,Puljujarvi,Jesse,RW,EDM,28,1,7,8,925000,115625
FIN,Koivu,Mikko,C,MIN,80,18,40,58,5400000,116379
CAN,Schlemko,David,D,S.J,62,2,16,18,2500000,116667
CAN,Di Giuseppe,Phillip,LW,CAR,36,1,6,7,867500,116786
FIN,Nutivaara,Markus,D,CBJ,66,2,5,7,792500,116786
SVK,Hossa,Marian,RW,CHI,73,26,19,45,4000000,117222
CAN,Eberle,Jordan,RW/C,EDM,82,20,31,51,6000000,117647
